,name,capacity_mw,latitude,longitude,primary_fuel,commissioning_year,owner,generation_gwh_2013,generation_gwh_2014,generation_gwh_2015,generation_gwh_2016,generation_gwh_2017,County,State
2932,12 Applegate Solar LLC,1.9,40.2003,-74.5761,Solar,2012,SunRay Power LLC,2.41461,2.35,2.43,2.492,2.276,Monmouth,New Jersey
2933,126 Grove Solar LLC,2,42.0761,-71.4227,Solar,2012,126 Grove Solar LLC,NA,NA,NA,2.416,2.251,Norfolk,Massachusetts
2934,1420 Coil Av #C,1.3,33.7943,-118.2414,Solar,2011,Konoike Pacific,1.528,2.149,1.515,1.592,1.66,Los Angeles,California
2935,145 Talmadge Solar,3.8,40.5358,-74.3913,Solar,2011,Avidan Energy Solutions,5.036,4.524,4.802,5.051,4.819,Middlesex,New Jersey
2936,1515 S Caron Road,4.2,41.9084,-89.0466,Gas,2000,Rochelle Municipal Utilities,0.215,0.178,0.271,0.306,0.264,Ogle,Illinois
2937,158th Fighter Wing Solar Farm,1.3,44.4777,-73.1534,Solar,2011,158th Fighter Wing,NA,NA,NA,1.655,1.616,Chittenden,Vermont
2938,180 Raritan Solar,1.9,40.5161,-74.34,Solar,2012,180 Raritan Energy Solutions  LLC,2.741,2.584,2.526,2.659,2.547,Middlesex,New Jersey
2939,191 Peachtree Tower,2.4,33.7583,-84.3869,Oil,1991,Banyan St./GAP 191 Peachtree Owner  LLC,0,0,0,0,0,Fulton,Georgia
2940,201 Sturbridge B,2,42.1091,-72.1712,Solar,2014,SE Solarne2 LLC,NA,2.969,2.979,2.835,2.722,Hampden,Massachusetts
2941,205 Sturbridge A,3,42.1093,-72.1705,Solar,2014,SH Solarne2 LLC,NA,2.969,5.326,5.319,5.041,Hampden,Massachusetts
2942,2081 Terzian Solar Project,1.2,36.67,-119.4158,Solar,2014,Solarenewal LLC,NA,1.918,3.444,2.601,3.016,Fresno,California
2943,2097 Helton Solar Project,1.5,37.3522,-120.5069,Solar,2014,Solarenewal LLC,NA,0.208,3.999,3.798,3.626,Merced,California
2944,2127 Harris Solar Project,1.3,39.2917,-121.6697,Solar,2014,Solarenewal LLC,NA,0.792,2.88,2.712,2.646,Sutter,California
2945,231 Dixon 74 Solar I  LLC,2,35.2441,-81.4304,Solar,2017,Soltage LLC,NA,NA,NA,NA,1.207,Cleveland,North Carolina
2946,24 Applegate Solar LLC,4.9,40.2058,-74.5797,Solar,2014,SunRay Power LLC,NA,5.734,1.742,1.667,5.259,Monmouth,New Jersey
2947,2555 E Olympic Bl,1,34.0269,-118.2242,Solar,2012,Los Angeles Department of Water & Power,1.894,1.341,1.235,1.78,1.35,Los Angeles,California
2948,265 Pleasant Solar NG  LLC,2.2,42.5814,-71.7622,Solar,2014,NuGen Capital Management,NA,0.523,1.479,1.5,1.372,Worcester,Massachusetts
2949,301 Chestnut Solar NG,4.3,42.0552,-72.5218,Solar,2017,301 Chestnut Solar NG  LLC,NA,NA,NA,NA,1.847,Hampden,Massachusetts
2950,350 Clark Solar  NG  LLC,1.8,40.8942,-74.7302,Solar,2011,350 Clark Solar NG  LLC,NA,NA,NA,2.167,1.143,Sussex,New Jersey
2951,4 Applegate Solar LLC,1.8,40.1964,-74.5836,Solar,2012,SunRay Power LLC,2.24037,2.028,2.159,2.265,1.93,Monmouth,New Jersey
2952,433 Purchase Solar NG  LLC,2.5,41.8094,-71.1922,Solar,2012,433 Purchase Solar NG  LLC,NA,NA,NA,4.219,3.662,Bristol,Massachusetts
2953,45 Mile Hydroelectric Project,3,44.5281,-121.1528,Hydro,2015,EBD Hydro LLC,NA,NA,5.561,7.332,6.349,Jefferson,Oregon
2954,491 E 48th Street,161.7,42.7553,-86.0853,Gas,1996.131107,City of Holland,14.308,14.985,0,14.034,66.843,Ottawa,Michigan
2955,4Oaks,5,35.4325,-78.4117,Solar,2015,Greenbacker Renewable Energy Corporation,NA,NA,3.836,9.354,2.747,Johnston,North Carolina
2956,500 Virginia Solar,1,40.1392,-75.1917,Solar,2011,500 Virginia Solar  LP,NA,1.129,1.103,1.238,1.174,Montgomery,Pennsylvania
2957,500MW CC,528,40.7889,-73.9069,Gas,2006,New York Power Authority,3371.908049,3307.582007,2891.433025,2722.323019,2223.712995,New York,New York
2958,510 REPP One,1.3,36.4972,-77.6058,Solar,2014,510 REPP One LLC,NA,0.387,1.929,1.968,1.447,Northampton,North Carolina
2959,59th Street,17.1,40.7713,-73.9912,Gas,1969,Consolidated Edison Co-NY Inc,0.402,0.293,0,0,0.093,Hudson,New Jersey
2960,651 Chase Solar NG,2.5,42.6267,-71.7428,Solar,2014,651 Chase Solar NG LLC,NA,1.611,4.226,4.2,4.034,Worcester,Massachusetts
2961,74th Street,37,40.768,-73.9515,Oil,1968,Consolidated Edison Co-NY Inc,0.181,0.694,0.559,0.521,0.504,New York,New York
2962,85 A,14.1,35.1011,-118.3372,Wind,1985,AES Wind Generation Inc,18.64,16.839,13.347,16.012,16.521,Kern,California
2963,85 B,21.2,35.1011,-118.3372,Wind,1985,AES Wind Generation Inc,25.968,22.336,17.296,20.601,16.355,Kern,California
2964,99 Islands,18,35.0314,-81.4936,Hydro,1910,Duke Energy Carolinas  LLC,91.592,78.817,61.397,45.196,50.585,Cherokee,South Carolina
2965,A B Brown,706.8,37.9053,-87.715,Coal,1985.994058,Southern Indiana Gas & Elec Co,2470.211954,0,2491.930026,2135.061032,1942.599978,Henderson,Kentucky
2966,A G Wishon,12.8,37.151,-119.5047,Hydro,1910,Pacific Gas & Electric Co.,21.245,6.571,2.59,34.315,34.926,Fresno,California
2967,A L Pierce,84,41.4482,-72.8349,Gas,2007,Connecticut Mun Elec Engy Coop,9.06,13.17,2.323,4.012,4.333,New Haven,Connecticut
2968,A.E.S. Corp.,454.3,17.9474,-66.1494,Coal,NA,AES Corporation,NA,NA,NA,NA,NA,,Guayama
2969,ABC Coke,3.8,33.5828,-86.7799,Gas,1997,Drummond Company  Inc.,14.022,13.707,2.07,2.989,2.763,Jefferson,Alabama
2970,ABD Farms,5,35.7287,-79.7483,Solar,2018,Cypress Creek Renewables,NA,NA,NA,NA,0,Randolph,North Carolina
2971,ABEC Bidart-Old River LLC,2,35.1697,-119.1056,Biomass,2014,ABEC Bidart-Old River LLC,0.013,8.013,10.198,10.899,12.124,Kern,California
2972,AC Criminal Courts Complex SPE2  LLC,1.3,39.4375,-74.6906,Solar,2013,Sustainable Power Group  LLC,1.947,1.925,2.328,1.916,1.907,Atlantic,New Jersey
2973,AC Landfill Energy LLC,5.4,39.4175,-74.5422,Waste,2005,AC Landfill Energy LLC,21.854,15.862,10.046,10.047,8.24,Atlantic,New Jersey
2974,ACCC Mays Landing,1.4,39.4606,-74.6809,Solar,2013,Marina Energy LLC,NA,NA,NA,2.024,1.985,Atlantic,New Jersey
2975,ACE-Stanton A PV,4.1,28.4845,-81.1741,Solar,2017,ACE-Stanton A  LLC,NA,NA,NA,NA,2.308,Orange,Florida
2976,ACE-Stanton PV,4.8,28.4774,-81.1804,Solar,2017,ACE-Stanton  LLC,NA,NA,NA,NA,2.755,Orange,Florida
2977,ADA Carbon Solutions Red River,20.8,32.0039,-93.3911,Cogeneration,2011,ADA Carbon Solutions (Red River)  LLC,25.53137,42.43459,58.22425,0,68.92222,Red River Parish,Louisiana
2978,ADS Renewable Energy-Wolf Creek LLC,2.8,32.7755,-83.4348,Waste,2011,ADS Renewable Energy- Wolf Creek  LLC,NA,NA,20.158,17.964,18.118,Twiggs,Georgia
2979,AEP Bluffton NaS,2,40.8928,-83.8863,Storage,2009,Ohio Power Co,NA,NA,NA,0,0,Allen,Ohio
2980,AEP Churubusco NaS,2,41.2326,-85.3149,Storage,2009,Indiana Michigan Power Co,NA,NA,NA,0,0,Whitley,Indiana
2981,AEP Jacksonville Solar Project,7.1,30.5236,-81.6864,Solar,2017,AEP Onsite Partners,NA,NA,NA,NA,8.259,Nassau,Florida
2982,AEP Milton NaS,2,38.3622,-82.1256,Storage,2009,Appalachian Power Co,NA,NA,NA,0,0,Cabell,West Virginia
2983,AES ADA Energy Storage Array,2,40.1218,-75.4172,Storage,2013,Fluence,NA,NA,NA,-5.046,-3.115,Montgomery,Pennsylvania
2984,AES Alamitos LLC,1922,33.7688,-118.1009,Gas,1962.652445,AES Alamitos LLC,1528.931,1369.722,1052.825,889.395,855.083,Orange,California
2985,AES Hawaii,203,21.3034,-158.1065,Coal,1992,AES Hawaii Inc,1374.962973,1481.909044,1258.126033,1512.820004,1395.546954,Honolulu,Hawaii
2986,AES Huntington Beach LLC,436,33.6439,-117.9792,Gas,1958.5,AES Huntington Beach LLC,851.663,912.234,722.497,486.191,408.97,Orange,California
2987,AES Ilumina,24,17.9468,-66.1591,Solar,NA,AES Corporation,NA,NA,NA,NA,NA,,Guayama
2988,AES Petersburg,2154.8,38.5281,-87.2525,Coal,1976.75775,Indianapolis Power & Light Co,10505.28775,11266.34537,8966.936012,9230.343021,9341.582954,Pike,Indiana
2989,AES Redondo Beach LLC,1316.4,33.8504,-118.395,Gas,1964.148587,AES Redondo Beach LLC,299.638,249.851,486.888,320.555,514.578,Los Angeles,California
2990,AES Shady Point LLC,350,35.1931,-94.6458,Coal,1990,AES Shady Point LLC,1872.653,1889.73297,1831.14195,1922.597043,1797.616024,Le Flore,Oklahoma
2991,AES Warrior Run Cogeneration Facility,229,39.5952,-78.7453,Coal,1999,AES WR Ltd Partnership,1349.561951,1265.667026,1165.822039,984.976003,1108.237006,Mineral,West Virginia
2992,AES Warrior Run Energy Storage Project,11,39.5931,-78.7453,Storage,2016,AES Tait LLC,NA,NA,NA,-1.332,-2.639,Mineral,West Virginia
2993,AFA Solar Farm,5.5,38.9579,-104.8066,Solar,2011,Solar Star Colorado II LLC,11.27,11.294,11.205,11.563,11.203,El Paso,Colorado
2994,AIS Solar Project,2.5,42.5019,-71.7378,Solar,2017,WGL Energy Systems  Inc,NA,NA,NA,0.013,3.621,Worcester,Massachusetts
2995,AL Sandersville LLC,692,33.1189,-82.8608,Gas,2002,SEPG Operating Services  LLC ALS,3.529,9.041,7.382,6.974,1.145,Washington,Georgia
2996,AM Best Farm,5,35.4189,-77.9856,Solar,2013,AM Best Farm,4.618,9.102,8.691,9.131,8.689,Wayne,North Carolina
2997,AMEA Peaking,98.6,33.1661,-86.2825,Gas,2004,Alabama Municipal Elec Authority,0.982,29.378,61.493,46.242,25.61,Talladega,Alabama
2998,AMP Napoleon Solar Facility,3.5,41.4067,-84.1108,Solar,2012,American Mun Power-Ohio  Inc,5.262,5.147,5.111,4.888,4.905,Henry,Ohio
2999,ANAD Solar Array,7.4,33.6267,-85.9695,Solar,2017,Alabama Power Co,NA,NA,NA,NA,7.668,Calhoun,Alabama
3000,ANP Bellingham Energy Project,578,42.1106,-71.4535,Gas,2002.5,ANP Bellingham Energy Company LLC,1978.236,2235.439,2510.525,2226.285,1999.288,Norfolk,Massachusetts
3001,ANP Blackstone Energy Project,578,42.0599,-71.5158,Gas,2001,ANP Blackstone Energy Company LLC,1872.344,2148.424,2095.413,1524.228,2017.379,Worcester,Massachusetts
3002,AP North Lake I  LP,20,33.74,-117.0106,Solar,2015,AP North Lake I  LP,NA,NA,15.048,NA,41.996,Riverside,California
3003,APG Combined Heat and Power Plant,7.9,39.3975,-76.2991,Gas,2017,US Dept of Army  Garrison  APG,NA,NA,NA,16.112,50.523,Harford,Maryland
3004,ASTI,1,38.7614,-122.9753,Solar,2009,Perpetual Energy Systems,1.589,1.44936,1.533,1.541,1.518,Sonoma,California
3005,AT&T Anaheim,1.3,33.8364,-117.9169,Gas,2016,Bloom Energy,NA,NA,NA,2.728,10.401,Orange,California
3006,AT&T Holger,1.3,37.4176,-121.9445,Gas,2016,Bloom Energy,NA,NA,NA,4.229,10.879,Santa Clara,California
3007,AV Solar Ranch One,253,34.7803,-118.4244,Solar,2014,AV Solar Ranch 1 LLC,NA,243.697,619.408,614.294,607.949,Los Angeles,California
3008,AVS Lancaster 1,3.7,34.7489,-117.9736,Solar,2017,Tesla Inc.,NA,NA,NA,0,8.472,Los Angeles,California
3009,Abbott TP 3,2.8,29.594,-98.0407,Hydro,1927,Guadalupe Blanco River Authority,3.99,2.767,10.238,13.634,11.599,Guadalupe,Texas
3010,Aberdeen CT,111,45.4299,-98.494,Gas,2003.918919,NorthWestern Energy - (SD),8.04,4.093,7.759,9.083,10.379,Brown,South Dakota
3011,Abiquiu Dam,15.6,36.2399,-106.423,Hydro,1993.230769,Los Alamos County,26.034,24.904,13.74,0,50.851,Rio Arriba,New Mexico
3012,Acadia Energy Center,1389.2,30.4286,-92.4131,Gas,2002,Cleco Power LLC,3805.772,4515.316,6585.897,6667.548,4767.264,Saint Landry Parish,Louisiana
3013,Acton Solar Landfill,1.6,42.4733,-71.4306,Solar,2014,Heliovaas LLC,NA,2.03,2.022,2.123,1.941,Middlesex,Massachusetts
3014,Actus Lend Lease DMAFB,3,32.1825,-110.8633,Solar,2010,Tesla Inc.,4.93317,4.56687,4.39659,4.481,4.402,Pima,Arizona
3015,Acushnet AD Makepeace,4.7,41.7989,-70.7436,Solar,2012,Ahana Renewables  LLC,5.867,5.835,5.624,6.089,5.819,Plymouth,Massachusetts
3016,Acushnet Hawes Reed Road,1,41.6622,-71.0425,Solar,2012,Ahana Renewables  LLC,1.702,1.63251,1.663,1.763,1.449,Bristol,Massachusetts
3017,Acushnet- High Hill,3.2,41.7144,-70.9972,Solar,2013,Ahana Renewables  LLC,3.56,4.38471,4.3,4.526,4.19,Bristol,Massachusetts
3018,Acushnet-Braley Road 1,1.9,41.7517,-70.9706,Solar,2013,Ahana Renewables  LLC,2.319,2.539,2.529,2.705,2.437,Bristol,Massachusetts
3019,Ada Cogeneration LP,33.1,42.9627,-85.4941,Gas,1990,Ada Cogeneration Ltd Partnership,181.253,202.987,166.84,162.129,165.704,Kent,Michigan
3020,Ada Dam,1.4,42.9506,-85.4859,Hydro,1984,STS HydroPower Ltd-Ada Dam,6.462,6.618,5.366,7.101,3.708,Kent,Michigan
3021,Adair Wind Farm,174.8,41.4236,-94.665,Wind,2009,MidAmerican Energy Co,523.247,490.31,470.368,485.613,471.946,Adair,Iowa
3022,Adams Ave MS and HS,3.1,39.4114,-74.5309,Solar,2011.580645,Marina Energy LLC,NA,NA,NA,4.839,5.085,Atlantic,New Jersey
3023,Adams Community Solar Garden III LLC,1.2,39.7867,-104.5877,Solar,2015,Adams Community Solar Garden III LLC,NA,NA,0.669,2.935,2.447,Adams,Colorado
3024,Adams Community Solar Garden LLC,1.2,39.7876,-104.5859,Solar,2015,Adams Community Solar Garden LLC,NA,NA,0.694,2.935,0.781,Adams,Colorado
3025,Adams Farm Solar,3,42.6,-72.2,Solar,2013,Adams Farm Solar LLC,NA,3.669,3.911,4.195,3.816,Worcester,Massachusetts
3026,Adams Wind,154.3,40.92,-94.6717,Wind,2015.688918,MidAmerican Energy Co,NA,NA,34.999,483.943,485.774,Adams,Iowa
3027,Adams Wind Farm,24,43.5548,-92.7241,Wind,2003.416667,Consolidated Edison Development Inc.,59.686,60.767,59.207,57.259,55.159,Mower,Minnesota
3028,Adams Wind Generations LLC,20,44.9169,-94.7356,Wind,2011,Adams Wind Generations LLC,64.746,67.287,66.281,64.864,49.221,Renville,Minnesota
3029,Adelanto Solar  LLC,20,34.5572,-117.3775,Solar,2015,Adelanto Solar  LLC,NA,NA,14.034,57.181,60.618,San Bernardino,California
3030,Adelanto Solar II  LLC,7,34.5572,-117.3775,Solar,2015,Adelanto Solar II  LLC,NA,NA,10.227,17.202,18.563,San Bernardino,California
3031,Adelanto Solar Project,10,34.5508,-117.4353,Solar,2012,Los Angeles Department of Water & Power,21.154,19.937,18.18,16.245,17.226,San Bernardino,California
3032,Adera Solar,20,37.1206,-120.3249,Solar,2016,Sustainable Power Group  LLC,NA,NA,1.172,37.763,39.394,Madera,California
3033,Adkins Energy LLC,5,42.3622,-89.8036,Gas,2002,Adkins Energy LLC,12.685,26.153,26.277,25.34,29.432,Stephenson,Illinois
3034,Adobe San Jose,1.2,37.3306,-121.8931,Gas,2010,Bloom Energy,7.69626,7.657,6.37,8.774,8.757,Santa Clara,California
3035,Adrian,2,43.6371,-95.9328,Oil,2005,Adrian Public Utilities Comm,0.087,0.038,0.024,0.008,0.02,Nobles,Minnesota
3036,Adrian Energy Associates LLC,2.4,41.891,-83.9929,Waste,1995,LES Project Holdings LLC,16.651,14.44,19.504,17.903,15.591,Lenawee,Michigan
3037,Advance Stores Company  Inc,1,42.015,-72.5119,Solar,2014,Tesla Inc.,NA,0.07623,1.38006,1.447,1.308,Hartford,Connecticut
3038,Aeolus Wind Facility,3,36.4725,-101.3278,Wind,2004,Aeolus Wind LLC,1.50678,0.729,3.01,2.408,1.111,Hansford,Texas
3039,Aera San Ardo Cogen Facility,6.2,35.9533,-120.86,Gas,1989,Aera Energy LLC-San Ardo,49.075,50.072,41.263,48.917,47.553,San Luis Obispo,California
3040,Aerojet I,3,38.6135,-121.1629,Solar,2010,Altus Power America Management  LLC,7.109,6.38,6.363,5.725,5.12,Sacramento,California
3041,Aerojet II,2.7,38.6086,-121.1703,Solar,2010,Altus Power America Management  LLC,4.743,4.23,3.945,3.861,2.945,Sacramento,California
3042,Afton Generating Station,287,32.1142,-106.8465,Gas,2003.916376,Public Service Co of NM,0,0,0,0,401.978,Dona Ana,New Mexico
3043,Agassiz Beach LLC,1.9,47.0053,-96.4356,Wind,2001,CHI Operations Inc,5.082,5.483,5.53,5.379,4.324,Clay,Minnesota
3044,Agawam Solar,1.5,42.0819,-72.6144,Solar,2012,Citizens Enterprises Corporation,1.996,2.157,2.234,2.183,1.992,Hampden,Massachusetts
3045,Agnews Power Plant,32,37.4058,-121.9272,Gas,1990,OLS Energy-Agnews Inc.,19.285,15.661,31.849,16.64,20.898,Santa Clara,California
3046,AgriReNew,1,41.6919,-90.8664,Biomass,2013,AgriReNew,0.74,3.886,3.804,4.058,5.499,Cedar,Iowa
3047,Agrilectric Power Partners Ltd,12.1,30.2012,-93.1269,Waste,1984,Agrilectric Power Partners Ltd,73.045,85.506,89.348,80.884,88.193,Calcasieu Parish,Louisiana
3048,Agrium Kenai Nitrogen Operations,12.5,60.6732,-151.3784,Gas,1977,Agrium US Inc,NA,NA,NA,NA,NA,Kenai Peninsula Borough,Alaska
3049,Agriwind,8.4,41.3017,-89.6236,Wind,2007,AgriWind Project  LLC,5.952,6.271,6.235,5.891,23.378,Bureau,Illinois
3050,Agua Caliente Solar Project,347.7,32.9774,-113.4945,Solar,2013.087144,Agua Caliente Solar,675.525,741.181,739.734,743.533,728.74,Yuma,Arizona
3051,Agua Fria,613.5,33.5561,-112.2153,Gas,1964.571312,Salt River Project,77.023,12.617,109.798998,84.854,199.527,Maricopa,Arizona
3052,Agua Mansa Power Plant,60.5,34.0414,-117.3603,Gas,2003,E I Colton LLC,39.754,23.668,14.59,6.466,11.648,Riverside,California
3053,Aguirre,42,17.9533,-66.2312,Gas,NA,,NA,NA,NA,NA,NA,,Salinas
3054,Aguirre,1492,17.9519,-66.2308,Oil,1975,PREPA,NA,NA,NA,NA,NA,,Salinas
3055,Aidlin Geothermal Power Plant,25,38.8339,-122.881,Geothermal,1989,Geysers Power Co LLC,112.149,139.692,132.136,125.286,115.589,Sonoma,California
3056,Ainsworth Wind,59.4,42.4489,-99.8917,Wind,2005,Nebraska Public Power District,185.115,194.809,192.618,176.314,162.168,Brown,Nebraska
3057,Air Products Port Arthur,169.1,29.8665,-93.9651,Gas,2006.023655,Air Products LLC,NA,747.815996,NA,830.64,1007.139,Jefferson,Texas
3058,Airport 1 Solar (DIA),1.5,39.8994,-104.6753,Solar,2010,Greenbacker Renewable Energy Corporation,NA,2.03,2.47,2.523,2.59,Weld,Colorado
3059,Airport Industrial,10,38.2844,-104.5308,Oil,2002,Black Hills/Colorado Elec.Util,-0.165,-0.162,-0.203,-0.209,-0.149,Pueblo,Colorado
3060,Ajax Solar,5,34.8309,-79.1194,Solar,2017,Cypress Creek Renewables,NA,NA,NA,NA,1.394,Robeson,North Carolina
3061,Akron Recycle Energy Plant,4,41.0733,-81.5306,Gas,1979,Akron Energy Systems LLC,NA,NA,NA,NA,NA,Summit,Ohio
3062,Akron WRF,1.8,41.1533,-81.5689,Biomass,2014,City of Akron,NA,6.714,7.89586,8.22024,8.0948,Summit,Ohio
3063,Al Turi,2.4,41.4043,-74.3767,Waste,2006.666667,Ameresco LFG I Inc,11.406,9.816,8.353,7.109,5.96,Orange,New York
3064,Alabama Pine Pulp,69,31.5825,-87.4889,Biomass,1991,Alabama River Cellulose LLC,61.554974,75.571,438.733217,439.412154,456.064711,Monroe,Alabama
3065,Alabama River Pulp,48,31.5825,-87.4889,Biomass,1978,Alabama River Cellulose LLC,12.336,11.305,318.296235,310.491884,287.087451,Monroe,Alabama
3066,Alameda,54.8,37.7886,-122.2889,Gas,1986,Northern California Power Agny,0,0,0,0,13.155,Alameda,California
3067,Alamo,19.6,34.8158,-118.6867,Hydro,1986,California Dept. of Water Resources,22.048,19.265,23.88,67,104.372,Kern,California
3068,Alamo 6,105,30.9931,-102.2708,Solar,2017,BHE Renewables  LLC,NA,NA,NA,NA,262.216,Upton,Texas
3069,Alamo Solar,20,34.6822,-117.3475,Solar,2015,Dominion Renewable Energy,NA,NA,34.449,52.591,51.002,San Bernardino,California
3070,Alamogordo Solar Energy Center,5,32.8657,-105.9998,Solar,2011,PNM Resources,11.735,11.267,11.046,11.552,11.421,Otero,New Mexico
3071,Alamosa,53.2,37.4594,-105.8947,Gas,1975,Public Service Co of Colorado,9.964,1.866,3.593,4.072,0.406,Alamosa,Colorado
3072,Albany,6.2,40.245,-94.339,Oil,1974.177419,City of Albany - (MO),0.008,0,0,0,0,Gentry,Missouri
3073,Albany Green Energy,54.5,31.5559,-84.1103,Waste,2017,Albany Green Energy  LLC,NA,NA,NA,NA,191.308005,Dougherty,Georgia
3074,Albany Medical Ctr Cogen Plant,4.6,42.655,-73.7777,Gas,2013,Albany Medical Center,NA,29.866,31.471,32.284,31.435,Albany,New York
3075,Albany Solar,10,45.6413,-94.5993,Solar,2017,Enel Green Power NA  Inc.,NA,NA,NA,0,10.562,Stearns,Minnesota
3076,Albemarle Hospital Unit,1.8,35.3636,-80.1939,Oil,2006,North Carolina Mun Power Agny #1,0.076,0.072,0.066,0.081,0.104,Stanly,North Carolina
3077,Albemarle Prime Power Park,3.6,35.4072,-80.1518,Oil,2006,North Carolina Mun Power Agny #1,-0.012,0.091,0.103,0.09,0.136,Stanly,North Carolina
3078,Albemarle Solar Center LLC,5,35.2931,-77.5569,Solar,2015,SRE Utility Solar 1  LLC,NA,0.002,9.155,9.678,9.677,Lenoir,North Carolina
3079,Albeni Falls,42,48.1802,-116.9986,Hydro,1955,USACE Northwestern Division,230.48,160.597,180.77,208.4,154.187,Pend Oreille,Washington
3080,Albertson Solar LLC,5,35.093,-77.8127,Solar,2015,Albertson Solar LLC,NA,NA,5.32,11.104,11.613,Duplin,North Carolina
3081,Albertville,4,34.3634,-86.2239,Oil,2000,Albertville Municipal Utilities Board,0,0,0,0,0,Marshall,Alabama
3082,Albuquerque Solar Energy Center,2,35.169,-106.6,Solar,2011,PNM Resources,3.715,4.458,4.185,4.37,4.31,Bernalillo,New Mexico
3083,Alcona,8,44.562,-83.8045,Hydro,1924,Consumers Energy Co,27.658,30.711,28.055,29.953,33.507,Iosco,Michigan
3084,Alcova,41.4,42.5484,-106.7175,Hydro,1955,U S Bureau of Reclamation,91.922,73.132,78.306,108.678,133.364,Natrona,Wyoming
3085,Alden Bailey Power Plant,10.9,46.1584,-123.406,Gas,2002,Clatskanie Peoples Util Dist,0,0.18718,0.39102,0.01274,0,Wahkiakum,Washington
3086,Alder,50,46.8016,-122.3102,Hydro,1946.5,City of Tacoma - (WA),222.108,247.536,191.283,251.255,232.142,Pierce,Washington
3087,Alethea I,2.8,40.0006,-74.735,Solar,2011,Syncarpha Alethea I  LLC,3.74,3.57,3.518,3.675,3.562,Burlington,New Jersey
3088,Alexander,4.2,45.1875,-89.7553,Hydro,1925,Wisconsin Public Service Corp,20.622,26.378,23.609,28.669,30.22,Lincoln,Wisconsin
3089,Alexander Wind Farm LLC,50.7,38.4247,-99.5075,Wind,2016,NJR Clean Energy Ventures Corporation,NA,NA,18.96,203.443,218.555,Rush,Kansas
3090,Alexandria,9.2,45.8892,-95.3797,Oil,1964.521739,City of Alexandria - (MN),0.00784,0.00784,0,0,0.085,Douglas,Minnesota
3091,Algodones,45,35.3844,-106.4642,Gas,1955.666667,Public Service Co of NM,NA,NA,NA,NA,NA,Sandoval,New Mexico
3092,Algona,16.1,43.0733,-94.2392,Oil,1982.322981,City of Algona - (IA),0.11,0.238,0.077,137.273004,30.472,Kossuth,Iowa
3093,Algonquin Power Sanger LLC,61.5,36.6842,-119.5522,Gas,2008.813008,Algonquin Power Sanger LLC,138.89,135.389,130.858,120.258,88.624,Fresno,California
3094,Algonquin SKIC 10 Solar  LLC,10,35.1261,-119.2434,Solar,2017,Algonquin Power Co,NA,NA,NA,NA,22.211,Kern,California
3095,Algonquin SKIC20 Solar LLC,20,35.1261,-119.2433,Solar,2015,Algonquin Power Co,NA,NA,27.082,45.907,48.28,Kern,California
3096,Algonquin Windsor Locks,71,41.9227,-72.6255,Gas,1994.647887,Algonquin Windsor Locks LLC,0,119.342977,112.013665,140.352212,129.080806,Hartford,Connecticut
3097,Alice Falls Hydro Project,2.1,44.5192,-73.4648,Hydro,1991,Alice Falls Hydro  LLC,0,0.103,0,0.114,0.881,Essex,New York
3098,Allatoona,86.6,34.1637,-84.7282,Hydro,1950,USCE-Mobile District,188.252,67.673,0,NA,9.244,Bartow,Georgia
3099,Allegan Dam,2.6,42.5638,-85.954,Hydro,1939.615385,Consumers Energy Co,14.281,13.444,13.521,14.91,14.073,Allegan,Michigan
3100,Allegany Cogen,67,42.5027,-78.0686,Gas,1994,Allegany Generating Station  LLC,0.372,96.844,106.333,86.953,33.142,Allegany,New York
3101,Allegheny Energy Units 3 4 & 5,556,40.5453,-79.7686,Gas,2003,Springdale Energy LLC,3493.134,0,0,0,3820.013,Westmoreland,Pennsylvania
3102,Allegheny Hydro No 8,13.6,40.8966,-79.479,Hydro,1991,Allegheny Hydro LP,89.813,102.209,87.144,86.667,92.121,Armstrong,Pennsylvania
3103,Allegheny Hydro No 9,17.8,40.956,-79.5507,Hydro,1991,Allegheny Hydro LP,112.693,125.502,104.636,106.54,100.228,Armstrong,Pennsylvania
3104,Allegheny No 6 Hydro Station,9.2,40.7164,-79.5772,Hydro,1988,All Dams Generation  LLC,38.397,3.947,38.323,34.605,38.905,Armstrong,Pennsylvania
3105,Allegheny No. 5 Hydro Station,9.2,40.6829,-79.6653,Hydro,1988,All Dams Generation  LLC,31.324,3.687,35.702,38.359,37.006,Armstrong,Pennsylvania
3106,Allegheny Ridge Wind Farm,80,40.3839,-78.5794,Wind,2007,Leeward Asset Management  LLC,162.302,202.479,188.143,202.849,212.986,Cambria,Pennsylvania
3107,Allen,1610.8,35.0741,-90.1487,Coal,1963.772784,Tennessee Valley Authority,4293.542978,4204.161024,3132.380973,3480.660013,3301.607003,Crittenden,Arkansas
3108,Allen S King,598.4,45.03,-92.7786,Coal,1958,Northern States Power Co - Minnesota,2528.928022,2992.941966,3030.016965,2715.573021,2913.347041,Washington,Minnesota
3109,Allendale Biomass,22.5,32.995,-81.2819,Waste,2013,EDF Renewable Asset Holdings  Inc.,1.653,118.668,161.474,162.662,159.562,Allendale,South Carolina
3110,Allendorf,3.8,43.4,-95.6333,Wind,2000.631579,E&E Enterprises LLC,1.779,1.912,2.048,4.024,5.073,Osceola,Iowa
